,zaman,year,month,count,mean,std,min,25%,50%,75%,max
74,gece,2022,8,650131.0,54.175000115361364,69.06279545734218,1.0,10.0,27.0,70.0,699.0
75,gece,2022,9,625290.0,53.65989860704633,68.43148242225674,1.0,10.0,27.0,69.0,674.0
76,gece,2022,10,616285.0,53.356083630138656,69.21090056773335,1.0,10.0,27.0,68.0,651.0
77,gece,2022,11,611824.0,51.256465911765474,65.6019320241926,1.0,9.0,26.0,66.0,693.0
78,gece,2022,12,634507.0,51.02452140007912,65.63058469439424,1.0,9.0,26.0,65.0,657.0
79,gece,2023,1,634588.0,50.53449167018601,65.76847755701854,1.0,9.0,25.0,64.0,703.0
80,gece,2023,2,579173.0,50.81114796442514,66.2841555371967,1.0,9.0,25.0,65.0,663.0
81,gece,2023,3,614597.0,51.5643177561882,66.82761254967573,1.0,9.0,25.0,66.0,665.0
82,gece,2023,4,589221.0,52.00638639831235,66.81733547639874,1.0,9.0,26.0,67.0,669.0
83,gece,2023,5,579958.0,55.67287803599571,71.42344448313405,1.0,10.0,28.0,71.0,710.0
84,gece,2023,6,573632.0,53.75669941704786,69.59061843466507,1.0,10.0,27.0,68.0,705.0
85,gece,2023,7,459825.0,27.89622356331213,55.51416383371827,1.0,1.0,1.0,28.0,676.0
86,ogle,2020,1,212725.0,97.18594899518158,114.15879868254972,1.0,22.0,59.0,127.0,1267.0
87,ogle,2020,2,194828.0,95.00385468207855,111.25094742060139,1.0,22.0,58.0,124.0,1162.0
88,ogle,2020,3,215059.0,87.22809089598668,103.7014580171184,1.0,20.0,52.0,113.0,1285.0
89,ogle,2020,4,206202.0,66.46255128466261,86.37899976462256,1.0,13.0,36.0,84.0,979.0
90,ogle,2020,5,215723.0,67.58885700643881,93.6061937230472,1.0,14.0,36.0,83.0,1257.0
91,ogle,2020,6,189599.0,92.75214004293272,112.27442525932507,1.0,22.0,55.0,118.0,1266.0
92,ogle,2020,7,217972.0,93.76791973280972,109.88824886765354,1.0,24.0,58.0,119.0,1237.0
93,ogle,2020,8,215500.0,90.11819953596287,105.81838402621855,1.0,23.0,55.0,115.0,1225.0
94,ogle,2020,9,210985.0,99.78325947342228,116.0651344246046,1.0,25.0,62.0,128.0,1220.0
95,ogle,2020,10,217442.0,91.30012141168679,107.17086796387319,1.0,23.0,57.0,116.0,1276.0
