Yıl,year,total_ghg,Tarih,Gas,Emission
1991-01-01,1991,226.79472134126274,1991-01-01,N2O,24.733991848363313
1992-01-01,1992,233.13248256892956,1992-01-01,N2O,25.25965001413612
1993-01-01,1993,240.77174649845836,1993-01-01,N2O,26.048287142827526
1994-01-01,1994,234.3878300250214,1994-01-01,N2O,23.570421094156227
1995-01-01,1995,248.2489088369333,1995-01-01,N2O,23.870854443649474
1996-01-01,1996,267.58138626218545,1996-01-01,N2O,24.542459634748948
1997-01-01,1997,278.8138405457876,1997-01-01,N2O,24.050524925180135
1998-01-01,1998,280.318958801664,1998-01-01,N2O,25.338883251334664
1999-01-01,1999,277.7767990658814,1999-01-01,N2O,25.636443232108615
2000-01-01,2000,298.9167547024636,2000-01-01,N2O,24.774565375440318
2001-01-01,2001,279.7401377805141,2001-01-01,N2O,22.600493560902486
2002-01-01,2002,285.6233651914037,2002-01-01,N2O,22.594352538743365
2003-01-01,2003,304.79478750038805,2003-01-01,N2O,24.006963673337452
2004-01-01,2004,314.4235699839391,2004-01-01,N2O,24.80205082154349
2005-01-01,2005,337.5749984925617,2005-01-01,N2O,25.968599360273632
2006-01-01,2006,358.0025346816609,2006-01-01,N2O,27.247719010331853
2007-01-01,2007,391.6970059043079,2007-01-01,N2O,26.757611058740274
2008-01-01,2008,388.49455629487613,2008-01-01,N2O,25.40210201434475
2009-01-01,2009,395.1771412461563,2009-01-01,N2O,26.553588683472892
2010-01-01,2010,398.79316469407036,2010-01-01,N2O,27.447360328281082
2011-01-01,2011,428.6175890813133,2011-01-01,N2O,28.531906246241032
2012-01-01,2012,448.1844581338876,2012-01-01,N2O,29.65037550092596
2013-01-01,2013,440.1953008341929,2013-01-01,N2O,31.460341631069834
2014-01-01,2014,459.4895079787363,2014-01-01,N2O,31.724948282446803
2015-01-01,2015,474.9675348442466,2015-01-01,N2O,32.26232877100373
2016-01-01,2016,501.10790644541123,2016-01-01,N2O,34.34781693022997
2017-01-01,2017,528.5659289023876,2017-01-01,N2O,35.44356167199653
2018-01-01,2018,523.1080336552368,2018-01-01,N2O,35.455448026044316
2019-01-01,2019,508.72587347689836,2019-01-01,N2O,36.967398001490935
2020-01-01,2020,523.9908166553155,2020-01-01,N2O,40.49056987193688
2021-01-01,2021,564.3897498866788,2021-01-01,N2O,40.30609092024165
1990-01-01,1990,219.52615112605991,1990-01-01,FGAZ,0.47280388768
1991-01-01,1991,226.79472134126274,1991-01-01,FGAZ,0.5569852746744
1992-01-01,1992,233.13248256892956,1992-01-01,FGAZ,0.5197544393184
1993-01-01,1993,240.77174649845836,1993-01-01,FGAZ,0.5190446468064001
1994-01-01,1994,234.3878300250214,1994-01-01,FGAZ,0.4638837871668
1995-01-01,1995,248.2489088369333,1995-01-01,FGAZ,0.4093262511624
1996-01-01,1996,267.58138626218545,1996-01-01,FGAZ,0.42328712808
1997-01-01,1997,278.8138405457876,1997-01-01,FGAZ,0.423803583696
1998-01-01,1998,280.318958801664,1998-01-01,FGAZ,0.42315759955439997
1999-01-01,1999,277.7767990658814,1999-01-01,FGAZ,0.422961477684
2000-01-01,2000,298.9167547024636,2000-01-01,FGAZ,0.538240611013205
2001-01-01,2001,279.7401377805141,2001-01-01,FGAZ,0.6559294790374012
2002-01-01,2002,285.6233651914037,2002-01-01,FGAZ,0.8470410322140406
2003-01-01,2003,304.79478750038805,2003-01-01,FGAZ,1.064113112268726
2004-01-01,2004,314.4235699839391,2004-01-01,FGAZ,1.351699412064091
2005-01-01,2005,337.5749984925617,2005-01-01,FGAZ,1.5638177709660386
2006-01-01,2006,358.0025346816609,2006-01-01,FGAZ,1.7763410036667067
2007-01-01,2007,391.6970059043079,2007-01-01,FGAZ,2.1563798517720754
2008-01-01,2008,388.49455629487613,2008-01-01,FGAZ,2.311528697178376
2009-01-01,2009,395.1771412461563,2009-01-01,FGAZ,2.325411472277247
2010-01-01,2010,398.79316469407036,2010-01-01,FGAZ,3.507481741529711
2011-01-01,2011,428.6175890813133,2011-01-01,FGAZ,3.8627990670323484
2012-01-01,2012,448.1844581338876,2012-01-01,FGAZ,4.596864810928643
2013-01-01,2013,440.1953008341929,2013-01-01,FGAZ,4.740154714459747
2014-01-01,2014,459.4895079787363,2014-01-01,FGAZ,5.191223128145841
2015-01-01,2015,474.9675348442466,2015-01-01,FGAZ,4.990747113528594
2016-01-01,2016,501.10790644541123,2016-01-01,FGAZ,5.2278886705342735
2017-01-01,2017,528.5659289023876,2017-01-01,FGAZ,5.4044041147741995
2018-01-01,2018,523.1080336552368,2018-01-01,FGAZ,5.18473810558052
2019-01-01,2019,508.72587347689836,2019-01-01,FGAZ,5.84972041857567
2020-01-01,2020,523.9908166553155,2020-01-01,FGAZ,6.679616522004234
2021-01-01,2021,564.3897498866788,2021-01-01,FGAZ,7.360639560827397
