trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2019-03-09 00:00:00.000,1,53,23.329861
2023-01-17 00:00:00.000,1,81,33.668858
2019-02-21 00:00:00.000,1,63,27.625
2021-03-13 00:00:00.000,2,72,31.784721
2018-09-03 00:00:00.000,1,58,25.132404
2015-12-03 00:00:00.000,1,78,34.792984
2018-12-24 00:00:00.000,1,65,27.371529
2018-12-26 00:00:00.000,1,60,28.132868
2015-12-11 00:00:00.000,2,83,43.073685
2021-07-12 00:00:00.000,1,62,29.494774
2021-01-09 00:00:00.000,4,18,11.75
2019-08-13 00:00:00.000,1,22,9.854167
2017-03-08 00:00:00.000,1,59,28.96875
2015-11-08 00:00:00.000,1,51,16.537931
2017-05-13 00:00:00.000,1,57,29.028368
2018-08-13 00:00:00.000,1,47,21.439024
2018-01-08 00:00:00.000,1,54,21.564461
2020-06-07 00:00:00.000,1,24,10.939271
2016-07-03 00:00:00.000,1,29,8.9163761
2020-09-16 00:00:00.000,2,60,27.885057
2015-11-14 00:00:00.000,1,78,32.586807
2021-09-25 00:00:00.000,1,65,33.793594
2021-01-01 00:00:00.000,1,18,5.8229165
2023-01-11 00:00:00.000,1,80,33.599243
2021-12-12 00:00:00.000,1,62,24.153311
2021-08-26 00:00:00.000,1,69,32.392361
2022-03-18 00:00:00.000,8,63,34.881943
2019-02-28 00:00:00.000,2,56,25.289198
2021-06-22 00:00:00.000,1,71,32.982395
2017-07-10 00:00:00.000,13,53,27.779762
2020-10-30 00:00:00.000,1,71,29.236111
2019-11-15 00:00:00.000,4,72,32.819443
2016-05-30 00:00:00.000,2,72,41.519299
2021-02-17 00:00:00.000,9,71,27.704226
2022-08-25 00:00:00.000,1,63,30.11025
2017-02-05 00:00:00.000,4,47,22.065971
2022-05-20 00:00:00.000,1,63,28.807142
2022-08-06 00:00:00.000,1,53,24.236641
2022-12-06 00:00:00.000,1,76,33.533417
2018-01-13 00:00:00.000,1,49,24.986063
2019-08-03 00:00:00.000,1,40,20.086805
2021-11-08 00:00:00.000,1,72,31.25
2019-01-15 00:00:00.000,6,76,34.027973
2022-07-09 00:00:00.000,1,45,16.413708
2016-12-23 00:00:00.000,9,72,37.792255
2023-02-18 00:00:00.000,1,62,24.943609
2020-11-01 00:00:00.000,1,35,16.197916
2020-01-20 00:00:00.000,11,74,38.315971
2016-05-24 00:00:00.000,4,71,38.635418
2020-11-25 00:00:00.000,4,58,26.868055
2019-12-25 00:00:00.000,4,72,33.373665
2021-05-06 00:00:00.000,1,33,12.557491
2017-04-18 00:00:00.000,2,59,29.021429
2016-10-06 00:00:00.000,1,67,28.404181
2018-02-16 00:00:00.000,1,74,31.853148
2018-11-08 00:00:00.000,1,65,27.383276
2016-07-28 00:00:00.000,4,65,34.947369
2021-07-20 00:00:00.000,1,31,10.490421
2017-03-24 00:00:00.000,1,59,27.349649
2017-04-25 00:00:00.000,1,54,26.761732
2019-10-01 00:00:00.000,1,67,27.527779
2017-08-12 00:00:00.000,1,44,22.570396
2019-08-14 00:00:00.000,1,18,7.5694447
2018-09-22 00:00:00.000,24,53,39.605263
2019-12-17 00:00:00.000,4,67,31.555555
2020-12-11 00:00:00.000,6,74,36.46875
2015-11-12 00:00:00.000,1,72,33.278168
2019-06-16 00:00:00.000,1,44,20.299652
2015-11-03 00:00:00.000,1,71,32.243904
2019-02-24 00:00:00.000,13,33,23.409721
2015-09-18 00:00:00.000,4,76,38.167248
2018-11-30 00:00:00.000,11,78,38.920139
2020-08-05 00:00:00.000,1,51,20.975695
2016-01-26 00:00:00.000,4,72,37.118057
2020-08-17 00:00:00.000,1,58,26.461267
2021-11-20 00:00:00.000,1,67,33.506943
2018-12-17 00:00:00.000,1,65,26.545454
2016-12-11 00:00:00.000,1,47,19.372822
2016-08-02 00:00:00.000,2,72,32.223404
2022-12-16 00:00:00.000,1,80,30.918396
2020-03-20 00:00:00.000,2,36,15.237762
2019-07-30 00:00:00.000,1,53,23.590279
2018-08-18 00:00:00.000,1,27,15.975525
2017-01-01 00:00:00.000,4,24,12.766423
2016-05-05 00:00:00.000,1,78,38.804195
2018-12-22 00:00:00.000,1,51,22.498245
2022-08-12 00:00:00.000,1,65,27.816736
2020-01-14 00:00:00.000,6,65,30.916666
2018-03-22 00:00:00.000,1,69,33.947369
2018-05-07 00:00:00.000,1,62,30.909409
2016-07-30 00:00:00.000,2,60,30.377623
2021-05-12 00:00:00.000,1,15,4.7177701
2016-08-10 00:00:00.000,1,62,31.919733
2019-06-18 00:00:00.000,1,63,28.910395
2018-05-31 00:00:00.000,1,60,23.487804
2020-02-14 00:00:00.000,6,72,33.427082
2020-05-24 00:00:00.000,1,8,2.6356878
2021-04-25 00:00:00.000,1,15,5.1493053
