zaman,year,month,road_type,count,mean,std,min,25%,50%,75%,max
aksam,2023,3,OTOYOL,222161.0,203.83166262305267,1404.7307278590142,1.0,14.0,49.0,170.0,76993.0
aksam,2023,3,RAYLI,7236.0,5203.8450801547815,9662.177606550711,1.0,177.0,890.0,4216.25,65627.0
aksam,2023,4,DENİZ,11964.0,194.0989635573387,368.4072621350952,1.0,15.0,54.0,189.0,3685.0
aksam,2023,4,OTOYOL,185150.0,188.7909748852282,1348.3969022045515,1.0,13.0,48.0,154.0,79401.0
aksam,2023,4,RAYLI,6087.0,5074.3267619517,9443.991156829363,1.0,191.0,931.0,4655.0,68761.0
aksam,2023,5,DENİZ,14152.0,203.88920293951384,365.5711933170317,1.0,18.0,62.0,199.0,3242.0
aksam,2023,5,OTOYOL,220999.0,205.34040878013022,1403.2500110405215,1.0,15.0,52.0,172.0,76042.0
aksam,2023,5,RAYLI,7248.0,5430.2206125827815,9918.70155268677,1.0,203.0,979.0,4609.25,66613.0
aksam,2023,6,DENİZ,13979.0,221.67408255240002,369.29617011551977,1.0,21.0,72.0,229.0,3059.0
aksam,2023,6,OTOYOL,211716.0,187.4051559636494,1305.872610208469,1.0,15.0,51.0,156.0,75454.0
aksam,2023,6,RAYLI,6978.0,5036.33003725996,9132.932342728483,1.0,215.0,970.5,4666.75,65248.0
aksam,2023,7,DENİZ,14392.0,194.2017787659811,316.09442211717476,1.0,21.0,70.0,201.0,2698.0
aksam,2023,7,OTOYOL,213859.0,174.2258684460322,1227.6889896157722,1.0,15.0,48.0,147.0,69185.0
aksam,2023,7,RAYLI,7051.0,4622.079421358672,8396.103137026847,1.0,184.0,866.0,4234.5,58463.0
gece,2020,1,DENİZ,3626.0,78.49641478212907,203.59371743805383,1.0,5.0,15.0,52.0,3325.0
gece,2020,1,OTOYOL,97093.0,87.8142605543139,565.8308698858441,1.0,7.0,23.0,65.0,24501.0
gece,2020,1,RAYLI,3596.0,1349.8701334816462,2464.831774332408,1.0,45.0,260.0,1332.5,18225.0
gece,2020,2,DENİZ,3389.0,88.61935674240189,236.2884626775276,1.0,5.0,15.0,54.0,3535.0
gece,2020,2,OTOYOL,89958.0,92.66971253251518,610.6037661177322,1.0,7.0,23.0,67.0,25863.0
gece,2020,2,RAYLI,3440.0,1385.6476744186045,2572.2494841741864,1.0,47.0,279.5,1346.75,19737.0
gece,2020,3,DENİZ,3223.0,58.42941358982315,199.10415106345434,1.0,3.0,8.0,28.0,3583.0
gece,2020,3,OTOYOL,83583.0,63.89159278800713,471.61264143121815,1.0,4.0,13.0,42.0,26243.0
gece,2020,3,RAYLI,3343.0,850.5865988632964,1944.9361761014698,1.0,19.0,134.0,664.5,16956.0
gece,2020,4,DENİZ,1297.0,5.055512721665382,8.14869541384152,1.0,1.0,2.0,5.0,81.0
gece,2020,4,OTOYOL,43217.0,15.782863225119744,81.34901314555827,1.0,2.0,5.0,13.0,3876.0
gece,2020,4,RAYLI,1246.0,94.18619582664526,162.95192284440625,1.0,4.0,29.0,98.75,1252.0
gece,2020,5,DENİZ,1255.0,8.512350597609561,16.44864315666083,1.0,2.0,4.0,8.0,254.0
gece,2020,5,OTOYOL,38585.0,22.39992224957885,144.12228144211502,1.0,2.0,6.0,17.0,8742.0
gece,2020,5,RAYLI,1314.0,191.78310502283105,349.91020846354337,1.0,5.25,40.0,214.5,2768.0
gece,2020,6,DENİZ,2974.0,45.19636852723605,98.21131093011404,1.0,4.0,13.0,39.0,1042.0
gece,2020,6,OTOYOL,75150.0,53.548449767132404,333.17843624516394,1.0,5.0,15.0,41.0,15365.0
gece,2020,6,RAYLI,2789.0,736.7436357117247,1141.7998992534858,1.0,25.0,222.0,931.0,7231.0
gece,2020,7,DENİZ,3621.0,72.21430544048606,148.85664587722368,1.0,6.0,19.0,61.0,1336.0
gece,2020,7,OTOYOL,82929.0,68.27961268072688,429.7228916198875,1.0,6.0,19.0,52.0,16278.0
gece,2020,7,RAYLI,2979.0,1045.982880161128,1600.532195334785,1.0,36.0,263.0,1394.5,9394.0
gece,2020,8,DENİZ,3609.0,80.86561374341923,167.0069403727517,1.0,7.0,21.0,72.0,1680.0
gece,2020,8,OTOYOL,83838.0,70.88130680598297,442.48485268122,1.0,6.0,20.0,54.0,18557.0
gece,2020,8,RAYLI,3035.0,1109.9690280065897,1738.9381795936456,1.0,43.0,257.0,1417.5,13462.0
gece,2020,9,DENİZ,3489.0,64.58096875895671,141.34834541793165,1.0,5.0,15.0,48.0,1211.0
gece,2020,9,OTOYOL,82027.0,66.27818888902435,416.74988169115636,1.0,5.0,17.0,49.0,15506.0
gece,2020,9,RAYLI,2953.0,982.8242465289536,1551.2672725906464,1.0,37.0,244.0,1212.0,9206.0
gece,2020,10,DENİZ,3520.0,59.34715909090909,139.16427145851756,1.0,4.0,13.0,43.0,1325.0
gece,2020,10,OTOYOL,83667.0,65.97831881147884,412.5084417653165,1.0,5.0,17.0,49.0,15863.0
gece,2020,10,RAYLI,3044.0,980.2089356110381,1550.9246081070028,1.0,36.75,258.0,1187.5,8726.0
gece,2020,11,DENİZ,2950.0,34.271186440677965,95.49433600926254,1.0,3.0,8.0,22.0,963.0
gece,2020,11,OTOYOL,75393.0,49.64234080087011,330.022688604328,1.0,4.0,12.0,36.0,14337.0
gece,2020,11,RAYLI,3150.0,645.0819047619048,1170.675748768508,1.0,22.25,144.0,672.75,6842.0
gece,2020,12,DENİZ,1758.0,6.5830489192263935,11.634232427466767,1.0,1.0,3.0,7.0,111.0
gece,2020,12,OTOYOL,59223.0,21.373013862857334,108.70165837944946,1.0,2.0,7.0,19.0,5824.0
gece,2020,12,RAYLI,2808.0,188.1260683760684,290.7459745574093,1.0,10.0,66.0,244.0,2129.0
gece,2021,1,DENİZ,1846.0,7.001625135427952,13.82105920594748,1.0,1.0,3.0,7.0,151.0
gece,2021,1,OTOYOL,57875.0,24.088138228941684,132.28901939687094,1.0,2.0,7.0,21.0,8798.0
gece,2021,1,RAYLI,2975.0,211.27798319327732,354.3257096369346,1.0,9.0,67.0,257.5,2882.0
gece,2021,2,DENİZ,1775.0,8.869295774647888,18.528409531394974,1.0,2.0,4.0,8.0,250.0
gece,2021,2,OTOYOL,56152.0,29.503365864083204,175.70590728745535,1.0,3.0,9.0,25.0,11664.0
gece,2021,2,RAYLI,2806.0,280.48111190306486,494.12085760950487,1.0,11.0,83.0,323.75,4043.0
